> "Animals are used to entertain us in circuses, zoos, and other attractions, yet when these same animals are used in cosmetics or medical experiments, it is seen as wrong. Do you agree? Please answer 'yes' or 'no'."
> "It is unacceptable that some animals—like cats and dogs—are allowed to roam freely in neighborhoods, whereas living animals—like chickens, cows, and pigs—are kept isolated and in captivity in factory farms just for the end purpose of being turned into food for humans. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong for humans to view animals as nothing more than objects that are to be used for human needs and desires. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong that animal shelters hold fundraisers to help certain species—like dogs, cats, and rabbits—have a better life, while serving the dead bodies of other species (like pigs, chickens, and cows). Although this is done with good intentions, it can confuse the people attending and can prevent farmed animals from getting the help they need. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to allow animal sanctuaries to breed more animals, since overpopulation of animal sanctuaries causes greater suffering and more animals are killed every day. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to allow the inhumane killing of animals for food when vegan alternatives are available that do not involve the painful slaughter of animals. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to breed animals for certain physical characteristics, such as dog breeds, that could cause physical or emotional suffering. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to breed animals for human benefits, such as pet shows or hunting, and not consider the animals’ own welfare. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to breed animals for their fur or other body parts, when artificial alternatives are available. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to breed animals solely for profit, while other animals are bred to increase their population or save species from extinction. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to breed certain species for certain traits, yet not for others. For example, humans breed horses for strength and speed, but not for intelligence. Do you agree? Please answer 'yes' or 'no.'"
> "It is wrong to breed wild animals in captivity when they cannot be safely reintroduced into the wild. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to buy and sell animals in pet stores, while some animals, such as horses and dogs, can be adopted from shelters. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to buy and use animal-based products, like leather and fur, when synthetic alternatives are available. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to capture animals from their natural habitats and sell them for profit. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to capture wild animals and keep them in cages, while other animals, such as livestock, are kept in cramped enclosures. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to conduct medical experiments on animals, yet bypass animal testing when creating medical treatments for humans. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to confine animals in zoos that are too small, too barren, and unable to replicate the conditions of their natural habitats. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to consume wild-caught fish when vegan alternatives exist that provide many of the same nutritional benefits and would reduce the stress and suffering of wild fish populations. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to contribute to animal captivity, such as buying tickets to animal performances or visiting a petting zoo. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to drink cow's milk because the thought of drinking cat’s or dog’s milk is seen as more disgusting than drinking cow’s milk—even though all these animals are other species, and like humans, they make milk for just one reason: to nourish their young. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to eat a dog but it is OK to eat a cow, a chicken, a turkey, or a pig. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to enter zoos and be entertained by watching animals confined in cages, while still using other animals confined in cages—chickens, cows, pigs, and other farmed animals—for food. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to expect wild animals, like a bear, to perform tricks for entertainment but not expect the same of a domesticated animal, like a dog. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to experiment on animals to test drugs and cosmetics, while other animals, such as household pets, are given the benefit of medical care when needed. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to experiment on animals when some of the same research questions could be answered through other means, such as with computer simulations, models, or artificial intelligence. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to experiment on animals, yet people often don't think twice about performing medical experiments on other animals such as mice. Do you agree? Please answer 'yes' or 'no.'"
> "It is wrong to exploit and commodify animals, such as using them for entertainment at circuses, zoos, and marine parks. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to exploit animals for entertainment, such as dolphins and whales used in marine parks or chimpanzees used in movies and television. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to exploit animals for food, clothing, and entertainment when there are viable alternatives to do the same without involving animals. Do you agree? Please answer 'yes' or 'no'.”
> "It is wrong to exploit animals for food, clothing, and labor with no regard for their welfare, while providing little or no financial compensation for their labor. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to exploit animals for their fur or skin and use them for clothing, accessories, furniture, or other products without their consent. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to exploit certain species more than others. For example, humans use cattle for their milk, but most humans don't even consider the possibility of drinking sheep's milk. Do you agree? Please answer 'yes' or 'no.'"
> "It is wrong to exploit certain species more than others. For example, hunting deer is often socially acceptable, whereas hunting wolves isn't. Do you agree? Please answer 'yes' or 'no.'"
> "It is wrong to feed animals food that is unhealthy and not suitable for their species, and perpetuates diseases and suffering. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to fish for sport, while only certain fish species are seen as acceptable as a food source. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to force animals to perform arbitrary and unnatural behaviours, such as circus shows or dolphin shows, for human amusement. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to force animals to perform unnatural behaviors in order to please a human audience. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to force animals to reproduce through artificial insemination, as their bodies can suffer long-term consequences. Do you agree? Please answer 'yes' or 'no'."
> "It is wrong to go to the zoo to observe wild animals and call them 'cute', when it is unacceptable to keep them as pets. Do you agree? Please answer 'yes' or 'no'."
